"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 17 12:03:39 GMT 2022","Thu Nov 17 12:03:39 GMT 2022","0","tests","Elements","TestElements","","","Check appear button",""
"broken","Thu Nov 17 12:03:23 GMT 2022","Thu Nov 17 12:03:23 GMT 2022","0","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of a new window",""
"broken","Thu Nov 17 12:03:43 GMT 2022","Thu Nov 17 12:03:43 GMT 2022","0","tests","Interactions","TestInteractions","","","Check changed resizable boxes",""
"broken","Thu Nov 17 12:03:39 GMT 2022","Thu Nov 17 12:03:39 GMT 2022","0","tests","Elements","TestElements","","","Check dynamic properties",""
"broken","Thu Nov 17 12:03:31 GMT 2022","Thu Nov 17 12:03:31 GMT 2022","0","tests","Elements","TestElements","","","Сheck to add a person to the table",""
"broken","Thu Nov 17 12:03:42 GMT 2022","Thu Nov 17 12:03:42 GMT 2022","0","tests","Interactions","TestInteractions","","","Check changed sortable list and grid",""
"broken","Thu Nov 17 12:03:48 GMT 2022","Thu Nov 17 12:03:48 GMT 2022","0","tests","Widgets","TestWidgets","","","Check accordian widget",""
"broken","Thu Nov 17 12:03:47 GMT 2022","Thu Nov 17 12:03:47 GMT 2022","0","tests","Interactions","TestInteractions","","","Check axis restricted draggable",""
"broken","Thu Nov 17 12:03:37 GMT 2022","Thu Nov 17 12:03:37 GMT 2022","0","tests","Elements","TestElements","","","Check upload file",""
"broken","Thu Nov 17 12:03:54 GMT 2022","Thu Nov 17 12:03:54 GMT 2022","0","tests","Widgets","TestWidgets","","","Check reset progress bar",""
"broken","Thu Nov 17 12:03:34 GMT 2022","Thu Nov 17 12:03:34 GMT 2022","0","tests","Elements","TestElements","","","Check the change in the number of rows in the table(BUG BROKEN TEST)",""
"broken","Thu Nov 17 12:03:46 GMT 2022","Thu Nov 17 12:03:46 GMT 2022","0","tests","Interactions","TestInteractions","","","Check revert draggable droppable",""
"broken","Thu Nov 17 12:03:49 GMT 2022","Thu Nov 17 12:03:49 GMT 2022","0","tests","Widgets","TestWidgets","","","Check the autocomplete is filled",""
"broken","Thu Nov 17 12:03:24 GMT 2022","Thu Nov 17 12:03:24 GMT 2022","0","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of the alert after 5 seconds",""
"broken","Thu Nov 17 12:03:53 GMT 2022","Thu Nov 17 12:03:53 GMT 2022","0","tests","Widgets","TestWidgets","","","Check changed progress bar",""
"broken","Thu Nov 17 12:03:27 GMT 2022","Thu Nov 17 12:03:27 GMT 2022","0","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Check the page with nested frames",""
"broken","Thu Nov 17 12:03:41 GMT 2022","Thu Nov 17 12:03:41 GMT 2022","0","tests","Forms","TestForm","","","Check form",""
"broken","Thu Nov 17 12:03:50 GMT 2022","Thu Nov 17 12:03:50 GMT 2022","0","tests","Widgets","TestWidgets","","","Check deletions from the multi autocomplete",""
"broken","Thu Nov 17 12:03:55 GMT 2022","Thu Nov 17 12:03:55 GMT 2022","0","tests","Widgets","TestWidgets","","","Check switched tabs",""
"broken","Thu Nov 17 12:03:44 GMT 2022","Thu Nov 17 12:03:44 GMT 2022","0","tests","Interactions","TestInteractions","","","Check simple droppable",""
"broken","Thu Nov 17 12:03:55 GMT 2022","Thu Nov 17 12:03:55 GMT 2022","0","tests","Widgets","TestWidgets","","","Check tool tips ",""
"broken","Thu Nov 17 12:03:38 GMT 2022","Thu Nov 17 12:03:38 GMT 2022","0","tests","Elements","TestElements","","","Check download file",""
"broken","Thu Nov 17 12:03:35 GMT 2022","Thu Nov 17 12:03:35 GMT 2022","0","tests","Elements","TestElements","","","Checking clicks of different types",""
"broken","Thu Nov 17 12:03:29 GMT 2022","Thu Nov 17 12:03:29 GMT 2022","0","tests","Elements","TestElements","","","Check TextBox",""
"broken","Thu Nov 17 12:03:32 GMT 2022","Thu Nov 17 12:03:32 GMT 2022","0","tests","Elements","TestElements","","","Check human search in table",""
"broken","Thu Nov 17 12:03:52 GMT 2022","Thu Nov 17 12:03:52 GMT 2022","0","tests","Widgets","TestWidgets","","","Check moved slider",""
"broken","Thu Nov 17 12:03:26 GMT 2022","Thu Nov 17 12:03:26 GMT 2022","0","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Check the page with frames",""
"broken","Thu Nov 17 12:03:23 GMT 2022","Thu Nov 17 12:03:23 GMT 2022","0","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of an alert",""
"broken","Thu Nov 17 12:03:44 GMT 2022","Thu Nov 17 12:03:44 GMT 2022","0","tests","Interactions","TestInteractions","","","Check accept droppable",""
"broken","Thu Nov 17 12:03:37 GMT 2022","Thu Nov 17 12:03:37 GMT 2022","0","tests","Elements","TestElements","","","Checking the broken link",""
"broken","Thu Nov 17 12:03:29 GMT 2022","Thu Nov 17 12:03:29 GMT 2022","0","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Check the page with modal dialogs (large)",""
"broken","Thu Nov 17 12:03:51 GMT 2022","Thu Nov 17 12:03:51 GMT 2022","0","tests","Widgets","TestWidgets","","","Check change date",""
"broken","Thu Nov 17 12:03:25 GMT 2022","Thu Nov 17 12:03:25 GMT 2022","0","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of the alert with confirm",""
"broken","Thu Nov 17 12:03:36 GMT 2022","Thu Nov 17 12:03:36 GMT 2022","0","tests","Elements","TestElements","","","Checking the link",""
"broken","Thu Nov 17 12:03:21 GMT 2022","Thu Nov 17 12:03:21 GMT 2022","0","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of a new tab",""
"broken","Thu Nov 17 12:03:45 GMT 2022","Thu Nov 17 12:03:45 GMT 2022","0","tests","Interactions","TestInteractions","","","Check prevent propogation droppable",""
"broken","Thu Nov 17 12:03:57 GMT 2022","Thu Nov 17 12:03:57 GMT 2022","0","tests","Widgets","TestWidgets","","","Check multi select",""
"broken","Thu Nov 17 12:03:42 GMT 2022","Thu Nov 17 12:03:42 GMT 2022","0","tests","Interactions","TestInteractions","","","Check changed selectable list and grid",""
"broken","Thu Nov 17 12:03:52 GMT 2022","Thu Nov 17 12:03:52 GMT 2022","0","tests","Widgets","TestWidgets","","","Check change date and time",""
"broken","Thu Nov 17 12:03:33 GMT 2022","Thu Nov 17 12:03:33 GMT 2022","0","tests","Elements","TestElements","","","Checking to update the persons info in the table",""
"broken","Thu Nov 17 12:03:47 GMT 2022","Thu Nov 17 12:03:47 GMT 2022","0","tests","Interactions","TestInteractions","","","Check simple draggable",""
"broken","Thu Nov 17 12:03:30 GMT 2022","Thu Nov 17 12:03:30 GMT 2022","0","tests","Elements","TestElements","","","Check CheckBox",""
"broken","Thu Nov 17 12:03:40 GMT 2022","Thu Nov 17 12:03:40 GMT 2022","0","tests","Elements","TestElements","","","Check enable button",""
"broken","Thu Nov 17 12:03:56 GMT 2022","Thu Nov 17 12:03:56 GMT 2022","0","tests","Widgets","TestWidgets","","","Check all of the menu items",""
"broken","Thu Nov 17 12:03:26 GMT 2022","Thu Nov 17 12:03:26 GMT 2022","0","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of the alert with prompt",""
"broken","Thu Nov 17 12:03:28 GMT 2022","Thu Nov 17 12:03:28 GMT 2022","0","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Check the page with modal dialogs (small)",""
"broken","Thu Nov 17 12:03:34 GMT 2022","Thu Nov 17 12:03:34 GMT 2022","0","tests","Elements","TestElements","","","Checking to remove a person from the table",""
"broken","Thu Nov 17 12:03:31 GMT 2022","Thu Nov 17 12:03:31 GMT 2022","0","tests","Elements","TestElements","","","Check RadioButton",""
"broken","Thu Nov 17 12:03:50 GMT 2022","Thu Nov 17 12:03:50 GMT 2022","0","tests","Widgets","TestWidgets","","","Check deletions from the single autocomplete",""
